Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,545.150024,546.000000,535.000000,544.700012,544.700012,19394393
2021-01-12,541.000000,550.650024,537.099976,548.000000,548.000000,16388310
2021-01-13,551.500000,561.000000,548.250000,556.500000,556.500000,21920297
2021-01-14,554.049988,558.450012,550.599976,553.299988,553.299988,13330898
2021-01-15,550.000000,551.000000,541.500000,543.000000,543.000000,15708956
2021-01-18,544.500000,548.400024,528.900024,533.150024,533.150024,21580313
2021-01-19,539.000000,547.750000,533.900024,546.450012,546.450012,20575358
2021-01-20,546.450012,554.599976,546.000000,551.000000,551.000000,16097138
2021-01-21,555.000000,561.000000,549.700012,552.700012,552.700012,18189277
2021-01-22,553.099976,553.500000,530.599976,533.799988,533.799988,24515997
2021-01-25,536.549988,542.299988,531.200012,538.049988,538.049988,23415249
2021-01-27,537.799988,539.200012,519.099976,522.349976,522.349976,28049286
2021-01-28,514.599976,529.849976,512.000000,528.250000,528.250000,29836591
2021-01-29,533.349976,544.950012,529.450012,537.000000,537.000000,33172808
2021-02-01,552.000000,609.450012,551.000000,603.799988,603.799988,69354326
2021-02-02,613.000000,624.000000,598.700012,617.349976,617.349976,42362384
2021-02-03,623.400024,627.500000,614.000000,622.349976,622.349976,27155908
2021-02-04,618.799988,631.650024,609.000000,628.299988,628.299988,29982222
2021-02-05,628.299988,635.299988,611.000000,614.150024,614.150024,32015570
2021-02-08,622.349976,633.950012,622.349976,629.599976,629.599976,18230551
2021-02-09,631.349976,643.200012,628.599976,633.349976,633.349976,27155615
2021-02-10,633.349976,638.200012,626.400024,632.150024,632.150024,23967387
2021-02-11,626.750000,633.599976,624.099976,630.650024,630.650024,16072702
2021-02-12,629.900024,649.900024,629.400024,647.599976,647.599976,19049709
2021-02-15,655.000000,676.799988,652.000000,673.950012,673.950012,27155194
2021-02-16,673.400024,679.400024,649.549988,658.349976,658.349976,24966739
2021-02-17,654.799988,664.950012,649.349976,657.349976,657.349976,21684753
